product_category_lvl1,product_category_lvl2,product_category_lvl3,product_name,product_short_description,product_long_description,product_quality_lvl1,product_quality_lvl2,product_quality_lvl3,price,available_quantity
Beauté,Soins visage,Crème visage,Crème Hydratante Aloe Vera,Hydrate intensément et apaise,"Crème naturelle enrichie en aloe vera et acide hyaluronique pour hydrater, calmer les rougeurs et renforcer la barrière cutanée.",Hydratation,Apaisante,Peau souple,12,250
Beauté,Soins visage,Crème visage,Crème Anti-âge Grenade,Lisse et raffermit,"Formule antioxydante à la grenade bio, collagène végétal et peptides pour réduire rides et améliorer l'élasticité.",Anti-âge,Fermeté,Éclat,18,180
Beauté,Soins visage,Crème visage,Crème Matifiante Thé Vert,Régule le sébum,"Crème légère au thé vert et zinc PCA, idéale pour peaux mixtes à grasses, resserre les pores.",Matifiant,Régulateur,Resserre les pores,11,320
Beauté,Soins visage,Sérum visage,Sérum Vitamine C,Éclat immédiat,"Sérum concentré à 15% de Vitamine C stabilisée pour illuminer, gommer taches et uniformiser le teint.",Éclat,Antitache,Antioxydant,16,200
Beauté,Soins visage,Sérum visage,Sérum Acide Hyaluronique,Repulpe intensément,Texture gel ultra-hydratante qui repulpe la peau et comble les ridules.,Hydratation,Repulpant,Lissant,14,240
Beauté,Soins visage,Sérum visage,Sérum Niacinamide 10%,Purifie et réduit les imperfections,"Idéal pour peaux mixtes à grasses, resserre pores et diminue brillances.",Purifiant,Resserre pores,Équilibrant,13,300
Beauté,Soins visage,Masque visage,Masque Argile Blanche,Nettoie et adoucit,"Purifie la peau tout en douceur, absorbe l'excès de sébum et éclaire le teint.",Purifiant,Douceur,Éclat,8,400
Beauté,Soins visage,Masque visage,Masque Charbon Actif,Détoxifie en profondeur,"Élimine impuretés, points noirs et toxines grâce au charbon actif et hydrolat de tea tree.",Détoxifiant,Anti-imperfections,Matifiant,9,350
Beauté,Soins visage,Masque visage,Masque Hydratant Rose,Réhydrate intensément,Enrichi en eau de rose et huiles végétales pour une peau rebondie et souple.,Hydratation,Apaisant,Éclat,10,280
Beauté,Soins corps,Lotion corps,Lotion Coco Nourrissante,Nourrit profondément,Enrichie en huile de coco bio pour une peau douce et satinée.,Nourrissant,Adoucissant,Peau souple,12,260
Beauté,Soins corps,Lotion corps,Lotion Aloe Fraîcheur,Apaise la peau,"Apporte hydratation légère, idéale après l'exposition au soleil.",Hydratant,Apaisant,Léger,11,310
Beauté,Soins corps,Lotion corps,Lotion Karité Intense,Répare et régénère,"Formule riche en beurre de karité, parfaite pour peaux très sèches.",Réparateur,Nourrissant,Protecteur,13,210
Beauté,Soins corps,Gommage corps,Gommage Sucre Vanille,Exfolie en douceur,Ajoute éclat à la peau grâce au sucre blond et huile de vanille.,Exfoliant,Éclat,Douceur,10,300
Beauté,Soins corps,Gommage corps,Gommage Café Tonifiant,Lisse et tonifie,Améliore la microcirculation et raffermit la peau.,Tonifiant,Lissant,Revitalisant,11,260
Beauté,Soins corps,Gommage corps,Gommage Sel Marin,Purifie intensément,Élimine les impuretés et stimule la peau grâce au sel marin.,Purifiant,Stimulant,Énergisant,12,240
Beauté,Soins corps,Huile corporelle,Huile d'Argan Pure,Nourrit et raffermit,"Huile bio riche en vitamine E, idéale peaux sèches ou matures.",Nourrissant,Fermeté,Réparateur,15,180
Beauté,Soins corps,Huile corporelle,Huile Amande Douce,Apaise et adoucit,Convient à toute la famille pour prévenir sécheresse et irritations.,Adoucissant,Apaisant,Douceur,13,200
